,qlabel,lemmas,instruction,category
0,WHQ,"('when', 'do')",When did Virgin Australia start operating?,closed_qa
1,WHQ,"('which', 'be')",Which is a species of fish? Tope or Rope,classification
2,WHQ,"('why', 'can')",Why can camels survive for long without water?,open_qa
3,NULL,(),"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",open_qa
4,WHQ,"('when', 'be')",When was Tomoaki Komorida born?,closed_qa
5,NULL,(),"If I have more pieces at the time of stalemate, have I won?",information_extraction
6,NULL,(),"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",closed_qa
7,WHQ,"('who', 'give')",Who gave the UN the land in NY to build their HQ,open_qa
8,WHQ,"('why', 'be')",Why mobile is bad for human,brainstorming
9,WHQ,"('who', 'be')",Who was John Moses Browning?,information_extraction
10,WHQ,"('who', 'be')",Who is Thomas Jefferson?,information_extraction
11,WHQ,"('who', 'be')",Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,closed_qa
12,NULL,(),From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,information_extraction
13,WHQ,"('what', 'be')",What is a polygon?,open_qa
14,WHQ,"('how', 'do')",How do I start running?,general_qa
15,NULL,(),Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,open_qa
16,WHQ,"('what', 'be')",What is process mining?,information_extraction
17,WHQ,"('what', 'be')",What are some unique curtain tie backs that you can make yourself?,brainstorming
18,WHQ,"('what', 'be')",What is a dispersive prism?,summarization
19,NULL,(),"Identify which instrument is string or percussion: Cantaro, Gudok",classification
20,NULL,(),Give me the top 5 golf equipment company names.,brainstorming
21,WHQ,"('what', 'have')",What individual has won the most Olympic gold medals in the history of the games?,open_qa
22,WHQ,"('which', 'paint')",Which Dutch artist painted “Girl with a Pearl Earring”?,open_qa
23,WHQ,"('what', 'happen')",What happens when the sun goes down?,open_qa
24,WHQ,"('what', 'be')",What is a verb?,open_qa
25,NULL,(),Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,information_extraction
